  
CCCCCCC(OC)OC 0
CCCCC(=O)C(C)C 1
CCOC(=O)CC(C)=O 2
CCCCCCOC(=O)CC 3
CCCCCCOC(=O)C(C)C 4
CCCCCCC(=O)OCCC 5
CC(C)C12CCC(C)(CC1)O2 6
CSCCCC(=O)O 7
CCCCCCCC(C)=O 8
CCCCCCCC(C)=O 9
  
CCCCC(=O)C(C)C 0
CC(C)CCOC=O 1
C=CC(O)CCC 2
[Xe] 3
[Xe] 4
COC(O)CC(C)CC(C)C 5
C=CC(CCCCC)OC(C)=O 6
CCCCCC(=O)OCC(C)C 7
CCCCCC1C(C)CC1CC=O 8
CCCCC(=O)C(C)C 9
  
CCCCCCCOC(C)=O 0
CCCCN=C=S 1
CCCCCCOC(=O)Cc1ccccc1 2
CCCCCCOC(=O)C(C)C 3
C=CC(C)C(=O)OCC 4
CCC=CCCC=CCO 5
CCOC(=O)CC(=O)OCC 6
CCC(C)(O)CC 7
CCCCCCCCCOC(C)=O 8
CCCC(=O)C(C)C 9
  
CC(C)CCOC=O 0
CCCCCCC(CC)OC 1
CCc1nc(C)cs1 2
CC(CCO)CC(C)(C)C 3
CCCCCCOC(=O)C(C)CC 4
CCOC(=O)CC(=O)OCC 5
CC(C)CCOC=O 6
CCC1=NC(C)=CC1 7
CCCCCCCCCCCC=O 8
CCCCCCCc1ccco1 9
  
CC(=O)CC(C)C 0
CCC(C=O)CC 1
CCCCN=C=S 2
CCCOC(=O)O 3
CCCCCCCC(C)=O 4
C=C(C)C1CC=C(C=O)CC1 5
C=CC(CCCCC)OC(C)=O 6
CCCCCCCc1ccco1 7
C=CC(C)(CCC=C(C)C)OC=O 8
C=CCOC(=O)CCC 9
  
CC(C)CCOC=O 0
C 1
C=CC(CCCCC)OC(C)=O 2
CCc1ncc(C)nc1CC 3
CCCCCCCCC(=O)O 4
CCC(CO)CC(C)(C)C 5
Cc1cnccn1 6
CCCSSSCCC 7
CCC(=N)CCO 8
CCC(C)CC(=O)O 9
  
C=CCSSSCC=C 0
CCOC(=O)CCC(C)=O 1
CCc1ncc(C)nc1CC 2
O=CCCO 3
Cc1ncsc1C 4
CC(CCC(=O)CCO)=C1C=C1 5
CC(C)CCOC(=O)c1ccccc1O 6
CCc1ncc(C)nc1CC 7
CCCCCCCCCCCC=O 8
CC(C)C(C)S 9
  
CCCCCCC(O)CC=C(C)C 0
CCCCCCCC(C)=O 1
CCCCC(=O)C(C)C 2
CCOC(=O)CC(C)=O 3
CC(C)c1ccccc1 4
CCCCCCCC(=O)CC 5
CCCCCC(=O)O 6
C=CCC1CC(CO)O1 7
CCC(C)CCO 8
CCCCN=C=S 9
  
CCCCCCCC(=O)CC 0
CCCCN=C=S 1
CCCCCC(=O)OCC(C)C 2
Cc1cnccn1 3
CCc1nccnc1CC 4
CCCCCCCCCC(OC)OCC 5
CCCCCCCSC=O 6
C=CC(C)=CCCC(C)O 7
O=CCCO 8
CCCCCCC(C)S 9
  
CCCCCCOC(=O)C(C)C 0
CCCC=O 1
CCCCCCC1OCC(C)(C)O1 2
CCCCCCCCCC(OC)OC 3
CCCCCCCCCCCC=O 4
CS 5
CCCCCCCCC(=O)O 6
CCCC(C)S1=C(C)C(C)=C1 7
CC(C)C(=O)CCCS 8
C=CC(CCCCC)OC(C)=O 9
